Word,Bengali Meaning,Synonyms,Antonyms,English Definition,Example Sentence,Unit (Lesson)
"Pursue","লেগে থাকা, পশ্চাদ্ধাবন করা","Seek","Quit, give up","Follow or chase someone or something; persist in seeking a goal.","Take of this grain, which in my garden grows, And grows for you; Make bread of it: and that repose And peace, which ev'ry where With so much earnestness you do pursue, Is only there.","Unit 11: Lesson 4 (Peace in Literature)"
"Rehearse","মহড়া দেওয়া","Practise, prepare","Ignore, stop","Practise or recite repeatedly for public performance or deep memorization.","It prospered strangely, and did soon disperse Through all the earth: For they that taste it do rehearse That virtue lies therein; A secret virtue, bringing peace and mirth By flight of sin.","Unit 11: Lesson 4 (Peace in Literature)"
"Settler","বসতি স্থাপনকারী","Colonist, immigrant","","A person who moves with a group of others to live in a new country or area.","Read the following poem and try to understand the meaning.","Unit 11: Lesson 4 (Peace in Literature)"
"Stalk","বৃন্ত, ডগা","Twig","","The main stem of a herbaceous plant supporting leaves or flowers.","But after death out of his grave There sprang twelve stalks of wheat; Which many wond'ring at, got some of those To plant and set.","Unit 11: Lesson 4 (Peace in Literature)"
"Therein","তথায়","There","Here","In that place, document, or matter.","It prospered strangely, and did soon disperse Through all the earth: For they that taste it do rehearse That virtue lies therein; A secret virtue, bringing peace and mirth By flight of sin.","Unit 11: Lesson 4 (Peace in Literature)"
"Unrest","অশান্তি, অস্থিরতা","Anarchy, crisis, strife","Calmness, order","A state of dissatisfaction, disturbance, and agitation.","Read the following poem and try to understand the meaning.","Unit 11: Lesson 4 (Peace in Literature)"
"Virtue","গুণ, সদাচার","Honour, integrity","Evil","Behavior showing high moral standards; a commendable quality.","It prospered strangely, and did soon disperse Through all the earth: For they that taste it do rehearse That virtue lies therein; A secret virtue, bringing peace and mirth By flight of sin.","Unit 11: Lesson 4 (Peace in Literature)"
"Ally","মিত্র","Associate","Antagonist","A state or person formally cooperating with another for military or other purpose.","This was during the Battle of Passchendaele, fought by British forces and their allies against Germany for control of territory near Ypres, Belgium.","Unit 11: Lesson 5 (Opinions through Images)"
"Captured","বন্দি","Seized","Lost","Recorded in a photograph or video, or taken into custody by force.","See these iconic photographs captured in various war settings across the world over the past hundred years, accompanied by key factual information.","Unit 11: Lesson 5 (Opinions through Images)"
"Civil war","গৃহযুদ্ধ","War between the states","","A war between citizens of the same country.","See these iconic photographs captured in various war settings across the world over the past hundred years, accompanied by key factual information.","Unit 11: Lesson 5 (Opinions through Images)"
"Civilian","বেসামরিক জনগণ","Citizen, nonmilitary person","Military","A person not in the armed services or the police force.","Children navigate through the rubble of destroyed buildings in a war-torn area, highlighting the harsh reality of conflict and its devastating impact on innocent civilians, Rafah on Jan.","Unit 11: Lesson 5 (Opinions through Images)"
"Concentration camp","রাজনৈতিক বন্দিশিবির","Prison camp","","A camp where people are detained or confined by military or political authorities.","See these iconic photographs captured in various war settings across the world over the past hundred years, accompanied by key factual information.","Unit 11: Lesson 5 (Opinions through Images)"
"Conflict","সংঘাত","Fight, warfare, clash","Peace, truce","A serious disagreement, argument, or prolonged armed struggle.","Children navigate through the rubble of destroyed buildings in a war-torn area, highlighting the harsh reality of conflict and its devastating impact on innocent civilians, Rafah on Jan.","Unit 11: Lesson 5 (Opinions through Images)"
"Devastating","ধ্বংসী","Destructive","Blessed","Highly destructive, damaging, or overwhelming.","Children navigate through the rubble of destroyed buildings in a war-torn area, highlighting the harsh reality of conflict and its devastating impact on innocent civilians, Rafah on Jan.","Unit 11: Lesson 5 (Opinions through Images)"
"Factual","প্রকৃত","Credible","False","Concerned with, based on, or containing facts.","See these iconic photographs captured in various war settings across the world over the past hundred years, accompanied by key factual information.","Unit 11: Lesson 5 (Opinions through Images)"
"Innocent","নিরীহ","Harmless","Cunning","Not guilty of a crime or offense; free from evil or guilt.","Children navigate through the rubble of destroyed buildings in a war-torn area, highlighting the harsh reality of conflict and its devastating impact on innocent civilians, Rafah on Jan.","Unit 11: Lesson 5 (Opinions through Images)"
"Navigate","পরিচালনা করা","Cruise, operate","","Direct the route or make one's way through an area, course, or environment.","Children navigate through the rubble of destroyed buildings in a war-torn area, highlighting the harsh reality of conflict and its devastating impact on innocent civilians, Rafah on Jan.","Unit 11: Lesson 5 (Opinions through Images)"
"Paddle","নৌকা বাওয়া","Drift, splash","","Move through water in a boat using a paddle or oars.","Freedom fighters from the 1971 Bangladesh Liberation War paddle across a river, preparing for an operation.","Unit 11: Lesson 5 (Opinions through Images)"
"Photograph","আলোকচিত্র","Image, picture","","A picture made using a camera in which an image is focused onto film or recorded digitally.","This 1944 photograph shows a pile of remaining bones at the Nazi concentration camp of Majdanek, the second largest death camp in Poland after Auschwitz.","Unit 11: Lesson 5 (Opinions through Images)"
"Pile","স্তূপ","Heap, mass","Hole","A heap of things laid or lying one on top of another.","This 1944 photograph shows a pile of remaining bones at the Nazi concentration camp of Majdanek, the second largest death camp in Poland after Auschwitz.","Unit 11: Lesson 5 (Opinions through Images)"
"War-torn","যুদ্ধবিধ্বস্ত","Demolished, destroyed","","Severely damaged or devastated by war or conflict.","Children navigate through the rubble of destroyed buildings in a war-torn area, highlighting the harsh reality of conflict and its devastating impact on innocent civilians, Rafah on Jan.","Unit 11: Lesson 5 (Opinions through Images)"
"Access","প্রবেশাধিকার","Opportunity","","The means or opportunity to approach, enter, or obtain something.","Is there a crisis in our time with regard to access to clean drinking water?","Unit 12: Lesson 1 (Water Everywhere)"
"Ancient","পুরাতন, প্রাচীন","Old, antique","Modern, new","Belonging to the very distant past and no longer in existence; very old.","Water, water, every where, And all the boards did shrink; Water, water, every where, Nor any drop to drink.","Unit 12: Lesson 1 (Water Everywhere)"
"Backyard","পেছন দিক, পশ্চাদ্ভাগ","Back","Front","A yard behind a house, or an area close to home.","Besides, we have a sea in our backyard too.","Unit 12: Lesson 1 (Water Everywhere)"
"Crisis","সংকট, সংকটকাল","Emergency, disaster","Success","A time of intense difficulty, trouble, or danger.","Is there a crisis in our time with regard to access to clean drinking water?","Unit 12: Lesson 1 (Water Everywhere)"
"Cruel","নিষ্ঠুর, নিদারুণ","Brutal, inhuman","Compassionate","Willfully causing pain or suffering to others, or feeling no concern about it.","There is a limit up to which it can put up with its cruel and thoughtless treatment.","Unit 12: Lesson 1 (Water Everywhere)"
"Culture","সংস্কৃতি","Lifestyle, customs, tradition","","The customs, arts, social institutions, and achievements of a particular nation or people.","Rivers are everywhere in our life, literature, economy and culture.","Unit 12: Lesson 1 (Water Everywhere)"
